sentence,label,split
"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",positive,0
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,very_positive,0
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",positive,0
You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,neutral,0
Yet the act is still charming here .,positive,0
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",very_positive,0
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,very_positive,0
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,positive,0
a screenplay more ingeniously constructed than `` Memento '',very_positive,0
`` Extreme Ops '' exceeds expectations .,positive,0
"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",very_positive,0
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,neutral,0
Dramas like this make it human .,very_positive,0
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",neutral,0
"Still , this flick is fun , and host to some truly excellent sequences .",very_positive,0
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,positive,0
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,positive,0
Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,neutral,0
Absorbing character study by André Turpin .,very_positive,0
"If you love reading and\/or poetry , then by all means check it out .",positive,0
You 'll probably love it .,very_positive,0
"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",positive,0
near the end takes on a whole other meaning .,neutral,0
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",very_positive,0
The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,neutral,0
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",neutral,0
